studentID,surname,firstname,firstname2,tutor,course,year,email,group
c1673242,Davies,Joshua,,K. Sidorov,G100,2,abc@eg.com,
c1000000,Smith,John,,K.Sidorov,G101,4,def@eg.com,
c2000000,Sean,Tomm,,K.Sidorov ,G100,2,test,
c3000000,Stone,Ellis,,K. Sidorov,G100,2,abc@eg.com,
c4000000,Joyner,Ed,,K. Sidorov,G101,2,def@eg.com,
c5000000,Grimm,Harry,,K. Sidorov,G100,2,test,
c6000000,Williams,Chloe,,K. Sidorov,G100,2,abc@eg.com,
c7000000,Kelly,Ethan,,K. Sidorov,G101,3,def@eg.com,
c8000000,Jones,George,,K. Sidorov,G100,1,test,
c9000000,Taylor,Robin,,K. Sidorov,G100,4,abc@eg.com,
c1000000,Ryan,Sam,,K. Sidorov,G101,1,def@eg.com,
c1100000,Bailey,Jonathan,,K. Sidorov,G100,3,test,
c1200000,Temp,James,,K. Sidorov,G100,2,abc@eg.com,
c1300000,Oldham,Jack,,K. Sidorov,G101,4,def@eg.com,
c1400000,Gleave,Ben,,K. Sidorov,G100,4,test,
c1500000,Brewin,Freddie,,K. Sidorov,G100,2,test,
